id,section_id,start_time,end_time,availability_status
BW-001,1,2026-09-02T02:00:00Z,2026-09-02T05:00:00Z,Available
BW-002,1,2026-09-02T13:30:00Z,2026-09-02T16:00:00Z,Available
BW-003,2,2026-09-02T02:00:00Z,2026-09-02T04:00:00Z,Available
BW-004,2,2026-09-02T12:30:00Z,2026-09-02T15:30:00Z,Available
BW-005,3,2026-09-02T01:00:00Z,2026-09-02T03:00:00Z,Available
BW-006,3,2026-09-02T13:30:00Z,2026-09-02T16:00:00Z,Available
BW-007,4,2026-09-02T01:00:00Z,2026-09-02T03:00:00Z,Available
BW-008,4,2026-09-02T12:00:00Z,2026-09-02T16:00:00Z,Available
BW-009,5,2026-09-02T01:30:00Z,2026-09-02T04:00:00Z,Available
BW-010,5,2026-09-02T12:00:00Z,2026-09-02T15:00:00Z,Available
BW-011,6,2026-09-02T01:00:00Z,2026-09-02T03:00:00Z,Available
BW-012,6,2026-09-02T12:00:00Z,2026-09-02T15:00:00Z,Available
BW-013,7,2026-09-02T01:30:00Z,2026-09-02T04:00:00Z,Available
BW-014,7,2026-09-02T12:30:00Z,2026-09-02T16:00:00Z,Available
BW-015,8,2026-09-02T01:00:00Z,2026-09-02T04:00:00Z,Available
BW-016,8,2026-09-02T13:30:00Z,2026-09-02T16:00:00Z,Available
BW-017,9,2026-09-02T01:00:00Z,2026-09-02T03:30:00Z,Available
BW-018,9,2026-09-02T12:00:00Z,2026-09-02T15:00:00Z,Available
BW-019,10,2026-09-02T01:00:00Z,2026-09-02T04:00:00Z,Available
BW-020,10,2026-09-02T12:00:00Z,2026-09-02T15:00:00Z,Available
BW-021,11,2026-09-02T01:00:00Z,2026-09-02T04:00:00Z,Available
BW-022,11,2026-09-02T12:00:00Z,2026-09-02T16:00:00Z,Available
