id,train_id,section_id,service_date,entry_time,exit_time,movement_status
MOV-0001,TRAIN-001,1,2026-09-02,2026-09-02T05:30:00Z,2026-09-02T06:00:00Z,Scheduled
MOV-0002,TRAIN-002,1,2026-09-02,2026-09-02T06:30:00Z,2026-09-02T07:00:00Z,Scheduled
MOV-0003,TRAIN-003,1,2026-09-02,2026-09-02T07:30:00Z,2026-09-02T08:00:00Z,Scheduled
MOV-0004,TRAIN-004,1,2026-09-02,2026-09-02T08:30:00Z,2026-09-02T09:00:00Z,Scheduled
MOV-0005,TRAIN-005,1,2026-09-02,2026-09-02T09:30:00Z,2026-09-02T10:00:00Z,Scheduled
MOV-0006,TRAIN-006,1,2026-09-02,2026-09-02T10:30:00Z,2026-09-02T11:00:00Z,Scheduled
MOV-0007,TRAIN-007,1,2026-09-02,2026-09-02T11:30:00Z,2026-09-02T12:00:00Z,Scheduled
MOV-0008,TRAIN-008,1,2026-09-02,2026-09-02T12:30:00Z,2026-09-02T13:00:00Z,Scheduled

MOV-0009,TRAIN-009,2,2026-09-02,2026-09-02T05:00:00Z,2026-09-02T05:45:00Z,Scheduled
MOV-0010,TRAIN-010,2,2026-09-02,2026-09-02T06:15:00Z,2026-09-02T07:00:00Z,Scheduled
MOV-0011,TRAIN-011,2,2026-09-02,2026-09-02T07:30:00Z,2026-09-02T08:15:00Z,Scheduled
MOV-0012,TRAIN-012,2,2026-09-02,2026-09-02T08:45:00Z,2026-09-02T09:30:00Z,Scheduled
MOV-0013,TRAIN-013,2,2026-09-02,2026-09-02T10:00:00Z,2026-09-02T10:45:00Z,Scheduled
MOV-0014,TRAIN-014,2,2026-09-02,2026-09-02T11:15:00Z,2026-09-02T12:00:00Z,Scheduled

MOV-0015,TRAIN-015,3,2026-09-02,2026-09-02T05:15:00Z,2026-09-02T06:00:00Z,Scheduled
MOV-0016,TRAIN-016,3,2026-09-02,2026-09-02T06:30:00Z,2026-09-02T07:15:00Z,Scheduled
MOV-0017,TRAIN-017,3,2026-09-02,2026-09-02T08:00:00Z,2026-09-02T08:45:00Z,Scheduled
MOV-0018,TRAIN-018,3,2026-09-02,2026-09-02T09:30:00Z,2026-09-02T10:15:00Z,Scheduled
MOV-0019,TRAIN-019,3,2026-09-02,2026-09-02T11:00:00Z,2026-09-02T11:45:00Z,Scheduled
MOV-0020,TRAIN-020,3,2026-09-02,2026-09-02T12:30:00Z,2026-09-02T13:15:00Z,Scheduled

MOV-0021,TRAIN-021,4,2026-09-02,2026-09-02T04:00:00Z,2026-09-02T05:00:00Z,Scheduled
MOV-0022,TRAIN-022,4,2026-09-02,2026-09-02T06:00:00Z,2026-09-02T07:00:00Z,Scheduled
MOV-0023,TRAIN-023,4,2026-09-02,2026-09-02T08:00:00Z,2026-09-02T09:00:00Z,Scheduled
MOV-0024,TRAIN-024,4,2026-09-02,2026-09-02T10:00:00Z,2026-09-02T11:00:00Z,Scheduled

MOV-0025,TRAIN-001,5,2026-09-02,2026-09-02T06:15:00Z,2026-09-02T06:45:00Z,Scheduled
MOV-0026,TRAIN-003,5,2026-09-02,2026-09-02T07:45:00Z,2026-09-02T08:15:00Z,Scheduled
MOV-0027,TRAIN-005,5,2026-09-02,2026-09-02T09:15:00Z,2026-09-02T09:45:00Z,Scheduled
MOV-0028,TRAIN-007,5,2026-09-02,2026-09-02T10:45:00Z,2026-09-02T11:15:00Z,Scheduled

MOV-0029,TRAIN-009,6,2026-09-02,2026-09-02T06:00:00Z,2026-09-02T06:30:00Z,Scheduled
MOV-0030,TRAIN-011,6,2026-09-02,2026-09-02T07:15:00Z,2026-09-02T07:45:00Z,Scheduled
MOV-0031,TRAIN-013,6,2026-09-02,2026-09-02T08:30:00Z,2026-09-02T09:00:00Z,Scheduled
MOV-0032,TRAIN-015,6,2026-09-02,2026-09-02T10:00:00Z,2026-09-02T10:30:00Z,Scheduled

MOV-0033,TRAIN-017,7,2026-09-02,2026-09-02T06:30:00Z,2026-09-02T07:00:00Z,Scheduled
MOV-0034,TRAIN-019,7,2026-09-02,2026-09-02T08:00:00Z,2026-09-02T08:30:00Z,Scheduled
MOV-0035,TRAIN-021,7,2026-09-02,2026-09-02T09:30:00Z,2026-09-02T10:00:00Z,Scheduled
MOV-0036,TRAIN-023,7,2026-09-02,2026-09-02T11:00:00Z,2026-09-02T11:30:00Z,Scheduled

MOV-0037,TRAIN-002,8,2026-09-02,2026-09-02T05:00:00Z,2026-09-02T05:45:00Z,Scheduled
MOV-0038,TRAIN-004,8,2026-09-02,2026-09-02T06:30:00Z,2026-09-02T07:15:00Z,Scheduled
MOV-0039,TRAIN-006,8,2026-09-02,2026-09-02T08:00:00Z,2026-09-02T08:45:00Z,Scheduled
MOV-0040,TRAIN-008,8,2026-09-02,2026-09-02T09:30:00Z,2026-09-02T10:15:00Z,Scheduled
MOV-0041,TRAIN-010,8,2026-09-02,2026-09-02T11:00:00Z,2026-09-02T11:45:00Z,Scheduled
MOV-0042,TRAIN-012,8,2026-09-02,2026-09-02T12:30:00Z,2026-09-02T13:15:00Z,Scheduled

MOV-0043,TRAIN-014,9,2026-09-02,2026-09-02T05:30:00Z,2026-09-02T06:15:00Z,Scheduled
MOV-0044,TRAIN-016,9,2026-09-02,2026-09-02T07:00:00Z,2026-09-02T07:45:00Z,Scheduled
MOV-0045,TRAIN-018,9,2026-09-02,2026-09-02T08:30:00Z,2026-09-02T09:15:00Z,Scheduled
MOV-0046,TRAIN-020,9,2026-09-02,2026-09-02T10:00:00Z,2026-09-02T10:45:00Z,Scheduled

MOV-0047,TRAIN-001,10,2026-09-02,2026-09-02T05:00:00Z,2026-09-02T05:45:00Z,Scheduled
MOV-0048,TRAIN-003,10,2026-09-02,2026-09-02T06:30:00Z,2026-09-02T07:15:00Z,Scheduled
MOV-0049,TRAIN-005,10,2026-09-02,2026-09-02T08:00:00Z,2026-09-02T08:45:00Z,Scheduled
MOV-0050,TRAIN-007,10,2026-09-02,2026-09-02T09:30:00Z,2026-09-02T10:15:00Z,Scheduled

MOV-0051,TRAIN-009,11,2026-09-02,2026-09-02T05:30:00Z,2026-09-02T06:15:00Z,Scheduled
MOV-0052,TRAIN-011,11,2026-09-02,2026-09-02T07:00:00Z,2026-09-02T07:45:00Z,Scheduled
MOV-0053,TRAIN-013,11,2026-09-02,2026-09-02T08:30:00Z,2026-09-02T09:15:00Z,Scheduled
MOV-0054,TRAIN-015,11,2026-09-02,2026-09-02T10:00:00Z,2026-09-02T10:45:00Z,Scheduled
