id,train_number,train_type,priority_class
TRAIN-001,12001,Superfast,High
TRAIN-002,12002,Superfast,High
TRAIN-003,12301,Express,High
TRAIN-004,12302,Express,High
TRAIN-005,12951,Superfast,High
TRAIN-006,12952,Superfast,High
TRAIN-007,12401,Express,Normal
TRAIN-008,12402,Express,Normal
TRAIN-009,12501,Express,Normal
TRAIN-010,12502,Express,Normal
TRAIN-011,12801,Express,Normal
TRAIN-012,12802,Express,Normal
TRAIN-013,13001,Express,Normal
TRAIN-014,13002,Express,Normal
TRAIN-015,15001,Passenger,Normal
TRAIN-016,15002,Passenger,Normal
TRAIN-017,19001,Express,Normal
TRAIN-018,19002,Express,Normal
TRAIN-019,22101,Superfast,High
TRAIN-020,22102,Superfast,High
TRAIN-021,GDS-001,Goods,Low
TRAIN-022,GDS-002,Goods,Low
TRAIN-023,GDS-003,Goods,Low
TRAIN-024,GDS-004,Goods,Low
